TITLE,field_param_diameter,field_param_height,field_param_width,field_param_depth,field_param_cutout,field_param_lsp_tech,field_param_woofer_size,field_param_tweeter_size,field_param_mounting_system,field_param_transformer_tabs,field_param_low_z_applicable,field_param_100v_applicable,field_param_impedance,field_param_low_z_power,field_param_spl,field_param_maxspl,field_param_freq_response,field_param_material,field_param_grille_material,field_param_ip_klass,field_param_lsp_type,field_param_lsp_form,field_param_lsp_active,field_param_h_dispersion,field_param_v_dispersion,field_param_19_rack,field_param_height_u,field_param_power_vac,field_param_power_vdc,field_param_100v_output,field_param_low_z_output,field_param_consumption_power,field_param_output_power_100v,field_param_output_power_4,field_param_output_power_8,field_param_output_power_bridge,field_param_min_impedance,field_param_channel_qty,field_param_zone_qty,field_param_mic_bal_input,field_param_mic_unbal_input,field_param_mic_phantom_input,field_param_line_phantom_input,field_param_line_bal_input,field_param_line_unbal_input,field_param_tone_control,field_param_suhoi_contact,field_param_vox_mute,field_param_din_don_,field_param_prior_output,field_param_fan_or_not,field_param_rs232,field_param_remote_control,field_param_volume_control,field_param_matrix,field_param_ethernet_control,field_param_bal_output,field_param_unbal_output,field_param_digital_output,field_param_ir_control,field_param_tuner,field_param_internet_radio,field_param_usb,field_param_sd_card,field_param_cd
PA2240BP,,,,420,,,,,,,,,,,,,35 - 22k,,,,,,,,,Да,2,230,24,Есть,Есть,1050,2 x 240,2 x 240,2 x 120,480,4,2,,,,,,2,,Есть,Есть,,,Есть,Вентилятор,,,На задней панели,,,,,,,,,,,
REVAMP1120T,,,,239,,,,,,,,,,,,,50 - 20k,,,,,,,,,Да,1,115 - 230,,Есть,Есть,200,120,120,60,,4,1,,,,,,1,1,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP1680,,,,421,,,,,,,,,,,,,20 - 30k,,,,,,,,,Да,3,115 - 230,,Нет,Есть,1350,,16 x 80,16 x 40,8 x 160,4,16,,,,,,,20,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP2060T,,,,239,,,,,,,,,,,,,50 - 20k,,,,,,,,,Да,1,115 - 230,,Есть,Есть,175,2 x 60,2 x 60,2 x 30,120,4,2,,,,,,2,2,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP2120T,,,,239,,,,,,,,,,,,,50 - 20k,,,,,,,,,Да,1,115 - 230,,Есть,Есть,300,2 x 120,2 x 120,2 x 60,240,4,2,,,,,,2,2,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP2150,,,,239,,,,,,,,,,,,,20 - 22k,,,,,,,,,Да,1,115 - 230,,Нет,Есть,400,,2 x 150,2 x 80,300,4,2,,,,,,2,2,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP2250,,,,239,,,,,,,,,,,,,10 - 24k,,,,,,,,,Да,1,115 - 230,,Нет,Есть,600,,2 x 250,2 x 125,500,4,2,,,,,,2,2,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP2600,,,,340,,,,,,,,,,,,,10 - 24k,,,,,,,,,Да,2,230,,Нет,Есть,1840,,2 x 600,2 x 300,,4,2,,,,,,2,2,,,,,,Вентилятор,,,На задней панели,,,,,,,,,,,
REVAMP4100,,,,239,,,,,,,,,,,,,20 - 22k,,,,,,,,,Да,1,115 - 230,,Нет,Есть,500,,4 x 100,4 x 50,2 x 200,4,4,,,,,,4,8,,,,,,Конвекционное,,,На задней панели,,,,,,,,,,,
REVAMP4120T,,,,338,,,,,,,,,,,,,50 - 20k,,,,,,,,,Да,2,115 - 230,,Есть,Есть,525,4 x 120,4 x 120,4 x 60,2 x 240,4,4,,,,,,4,4,,,,,,Вентилятор,,,На задней панели,,,,,,,,,,,
REVAMP4240T,,,,338,,,,,,,,,,,,,50 - 20k,,,,,,,,,Да,2,115 - 230,,Есть,Есть,1050,4 x 240,4 x 240,4 x 120,2 x 480,4,4,,,,,,4,4,,,,,,Вентилятор,,,На задней панели,,,,,,,,,,,
REVAMP8250,,,,338,,,,,,,,,,,,,20 - 20k,,,,,,,,,Да,2,115 - 230,,Нет,Есть,2200,,8 x 250,8 x 125,4 x 500,4,8,,,,,,8,8,,,,,,Вентилятор,,,На задней панели,,,,,,,,,,,
PM1122,,,,249,,,,,,,,,,,,,20 - 22k,,,,,,,,,Да,1,115 - 230,,,,24,,,,,,,2,5,,5,,5,4,Есть,Есть,,Есть,Есть,,Опция,Есть,На передней панели,Да,,,,,,,,,,
PM7400MKII,,,,277,,,,,,,,,,,,,20 - 25k,,,,,,,,,Да,1,230,,,,18,,,,,,,2,2,,2,,1,5,Есть,Есть,Есть,,,,,,На передней панели,,,,,,,,,,,
AC12.8SET,,,,313,,,,,,,,,,,,,20 - 30k,,,,,,,,,Да,1,115 - 230,,,,75,,,,,,,8,6 (+120),6 (+120),6,6,6,6,Есть,Опция,,Есть,Есть,,Есть,Есть,Удаленно,Да,,,,,,,,,,
AUDIOCONTROL12.8,,,,313,,,,,,,,,,,,,20 - 30k,,,,,,,,,Да,1,115 - 230,,,,75,,,,,,,8,6 (+120),6 (+120),6,6,6,6,Есть,Опция,,Есть,Есть,,Есть,Есть,Удаленно,Да,,,,,,,,,,
AUDIOSYSTEM8.8,,,,320,,,,,,,,,,,,,20 - 30k,,,,,,,,,Да,1,115 - 230,,,,150,,,8 x 30,,6,,8,,,,,,8,Есть,Есть,,Есть,,Вентилятор,,Есть,Удаленно,Да,Да,,,,,4,,,,
ZONE4,,,,205,,,,,,,,,,,,,20 - 30k,,,,,,,,,Да,1,115 - 230,,,,25,,,,,,,4,3,,2,,,4,Есть,Есть,,,,,Есть,Есть,На передней панели,Да,,,,,,,,,,
CONCEPT1,,,,314,,,,,,,,,,,,,,,,,,,,,,Да,2,230,,,,200,,2 x 80,2 x 60,,4,2,2,1,,,,,4,Есть,Есть,,,,Конвекционное,Есть,,На передней панели,,,,,,,,,,,
CONCEPT1T,,,,314,,,,,,,,,,,,,,,,,,,,,,Да,2,230,,,,200,2 x 60,,,,,2,2,1,,,,,4,Есть,Есть,,,,Конвекционное,Есть,,На передней панели,,,,,,,,,,,
VINCI2125,,,,435,,,,,,,,,,,,,10 - 60k,,,,,,,,,Нет,,230,,,,300,,2 x 125,2 x 80,,4,2,,,,,,,4,,,,,,Конвекционное,,,На передней панели,,,,,,,,,,,
PC1000RMKII,,,,314,,,,,,,,,,,,,,,,,,,,,,Да,1,230,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,Есть,Есть,Есть,Да,Нет,Нет,Есть,Есть,Есть
PCR3000RMKIII,,,,320,,,,,,,,,,,,,,,,,,,,,,Да,1,230,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,Нет,Есть,Есть,Да,Есть,,Есть,Есть,Есть
PMR4000RMKII,,,,330,,,,,,,,,,,,,,,,,,,,,,Да,1,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Нет,Есть,Есть,Да,Есть,Есть,Есть,Нет,Нет
PR1000R,,,,270,,,,,,,,,,,,,,,,,,,,,,Да,1,230,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,Нет,Есть,Нет,Да,Есть,Нет,Нет,Нет,Нет
PR4000R,,,,270,,,,,,,,,,,,,,,,,,,,,,Да,1,230,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,Нет,Есть,Нет,Да,Есть,Нет,Нет,Нет,Нет
